YEAR,PREVIOUS_YEAR,TOSP_CODE,TOSP_DESCRIPTION,TOSP_TABLE_NO,TOSP_COMMON_NAME,SETTING,WARD_TYPE,P25_BILL,P50_BILL,P75_BILL,P25_OPERATION_FEE,P50_OPERATION_FEE,P75_OPERATION_FEE,P25_SURGEON_FEE,P50_SURGEON_FEE,P75_SURGEON_FEE,P25_ANAESTHETIST_FEE,P50_ANAESTHETIST_FEE,P75_ANAESTHETIST_FEE,P25_FACILITY_FEE,P50_FACILITY_FEE,P75_FACILITY_FEE,P25_IMPLANT_FEE,P50_IMPLANT_FEE,P75_IMPLANT_FEE,P25_OTHER_FEE,P50_OTHER_FEE,P75_OTHER_FEE
2020,2019,SB716K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral) with augmentation, requiring extra implants or bone grafts, open/MIS/navigated",6B,"Knee, joint replacement (complex) (one side)",Public Hospitals/ Centres (Subsidised),Ward B2,"6,669","7,266","7,857","1,365","1,365","1,365",-,-,-,-,-,-,-,-,-,"3,020","3,380","3,800","2,098","2,381","2,898"
2020,2019,SB716K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral) with augmentation, requiring extra implants or bone grafts, open/MIS/navigated",6B,"Knee, joint replacement (complex) (one side)",Public Hospitals/ Centres (Subsidised),Ward C,"5,341","6,151","6,868",773,780,780,-,-,-,-,-,-,-,-,-,"2,590","3,380","3,920","1,602","1,926","2,321"
2020,2019,SB722F,"Foot, Fractures, Simple, single",3B,"Foot, repair of fractures (simple)(single)",Private Hospitals/ Clinics,Inpatient,"11,896","15,433","17,558","8,349","10,354","12,048","4,125","5,136","6,420","1,000","1,284","1,500","2,837","3,738","4,364",n/a,n/a,n/a,"2,154","3,046","5,156"
2020,2019,SB727S,"Spine, Various Lesions, Decompression Laminectomy, Multiple Levels (open or MIS)",6B,"Spine, removal of bone (multiple spinal levels)",Private Hospitals/ Clinics,Inpatient,"29,548","38,784","44,054","21,894","26,024","29,986","11,971","15,408","16,025","2,500","3,489","3,879","6,105","7,668","10,197",n/a,n/a,n/a,"6,067","10,555","15,228"
2020,2019,SB727S,"Spine, Various Lesions, Decompression Laminectomy, Multiple Levels (open or MIS)",6B,"Spine, removal of bone (multiple spinal levels)",Public Hospitals/ Centres (Subsidised),Ward C,"3,132","6,104","10,398",547,635,780,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"2,394","3,999","6,444"
2020,2019,SB727S,"Spine, Various Lesions, Decompression Laminectomy, Multiple Levels (open or MIS)",6B,"Spine, removal of bone (multiple spinal levels)",Public Hospitals/ Centres (Subsidised),Ward B2,"3,259","4,594","8,792",968,"1,050","1,365",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"1,995","3,364","4,982"
2020,2019,SB729S,"Spine, Various Lesions, Decompression, Spinal Instrumentation, Multiple Levels",7B,"Spine, insertion of implants (multiple spinal levels)",Private Hospitals/ Clinics,Inpatient,"49,789","59,461","70,557","30,464","34,102","37,078","17,120","19,260","21,400","4,000","4,280","4,815","8,084","9,492","11,599","8,633","10,986","16,264","8,752","12,281","18,603"
2020,2019,SB729S,"Spine, Various Lesions, Decompression, Spinal Instrumentation, Multiple Levels",7B,"Spine, insertion of implants (multiple spinal levels)",Public Hospitals/ Centres (Unsubsidised),Ward B1,"31,835","38,883","43,025","8,934","14,866","16,152",-,-,-,-,-,-,-,-,-,"7,861","10,919","14,601","9,238","11,553","20,563"
2020,2019,SB729S,"Spine, Various Lesions, Decompression, Spinal Instrumentation, Multiple Levels",7B,"Spine, insertion of implants (multiple spinal levels)",Public Hospitals/ Centres (Subsidised),Ward C,"11,552","15,705","21,481",635,780,926,-,-,-,-,-,-,-,-,-,"5,255","7,810","11,135","4,032","6,024","9,379"
2020,2019,SB729S,"Spine, Various Lesions, Decompression, Spinal Instrumentation, Multiple Levels",7B,"Spine, insertion of implants (multiple spinal levels)",Public Hospitals/ Centres (Subsidised),Ward B2,"12,469","15,398","20,291","1,050","1,050","1,365",-,-,-,-,-,-,-,-,-,"5,390","7,652","10,305","4,428","6,508","9,428"
2020,2019,SB740S,"Spine, Various lesions, Vertebroplasty or kyphoplasty, Single level",4A,"Spine, repair of fracture with bone cement (single spinal level)",Private Hospitals/ Clinics,Inpatient,"16,047","19,821","28,447","8,547","10,962","13,166","5,350","6,420","7,490","1,250","1,605","2,140","1,951","2,466","3,472",n/a,n/a,n/a,"2,308","5,574","11,092"
2020,2019,SB740S,"Spine, Various lesions, Vertebroplasty or kyphoplasty, Single level",4A,"Spine, repair of fracture with bone cement (single spinal level)",Public Hospitals/ Centres (Subsidised),Ward C,"4,302","5,257","6,106",507,507,760,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"2,905","4,354","5,617"
2020,2019,SB741S,"Spine, Various Lesions-Decompression, Interbody Fusion (circumferential fusion with instrumentation and cages) - Open or MIS or with Computer Navigation",7A,"Spine, removal of bone and insertion of implants ",Private Hospitals/ Clinics,Inpatient,"43,249","53,624","60,890","25,897","30,179","34,014","14,980","17,120","19,260","3,210","4,013","4,548","7,464","8,933","10,826","7,490","11,770","17,120","7,555","10,212","13,715"
2020,2019,SB741S,"Spine, Various Lesions-Decompression, Interbody Fusion (circumferential fusion with instrumentation and cages) - Open or MIS or with Computer Navigation",7A,"Spine, removal of bone and insertion of implants ",Public Hospitals/ Centres (Subsidised),Ward B2,"11,016","13,089","16,194","1,050","1,365","1,365",-,-,-,-,-,-,-,-,-,"4,542","6,845","9,550","3,381","4,296","5,244"
2020,2019,SB741S,"Spine, Various Lesions-Decompression, Interbody Fusion (circumferential fusion with instrumentation and cages) - Open or MIS or with Computer Navigation",7A,"Spine, removal of bone and insertion of implants ",Public Hospitals/ Centres (Subsidised),Ward C,"9,819","12,444","15,075",561,635,780,-,-,-,-,-,-,-,-,-,"4,714","6,922","9,574","3,191","3,912","5,246"
2020,2019,SB745J,"Joint, Various Lesions, Joint aspiration/arthrocentesis/injection",1A,"Joints, injection or removal of fluid with needle",Private Hospitals/ Clinics,Inpatient,"4,826","6,342","8,892",535,"1,070","1,712",535,"1,070","1,391",n/a,n/a,n/a,0,0,399,n/a,n/a,n/a,"3,210","4,936","7,435"
2020,2019,SB745J,"Joint, Various Lesions, Joint aspiration/arthrocentesis/injection",1A,"Joints, injection or removal of fluid with needle",Private Hospitals/ Clinics,Day Surgery,"3,090","3,674","4,475","1,501","2,102","2,958","1,000","1,070","1,712",n/a,n/a,n/a,69,552,"1,190",n/a,n/a,n/a,816,"1,379","2,186"
2020,2019,SB745J,"Joint, Various Lesions, Joint aspiration/arthrocentesis/injection",1A,"Joints, injection or removal of fluid with needle",Private Hospitals/ Clinics,Clinics,"2,226","3,298","5,168",835,"1,311","2,595",492,537,"1,605",n/a,n/a,n/a,342,479,719,n/a,n/a,n/a,737,"1,680","2,311"
2020,2019,SB745J,"Joint, Various Lesions, Joint aspiration/arthrocentesis/injection",1A,"Joints, injection or removal of fluid with needle",Public Hospitals/ Centres (Subsidised),Ward C,"1,090","2,051","3,266",76,78,83,-,-,-,-,-,-,-,-,-,-,-,-,"1,011","1,981","3,187"
2020,2019,SB745J,"Joint, Various Lesions, Joint aspiration/arthrocentesis/injection",1A,"Joints, injection or removal of fluid with needle",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),504,873,"1,138",431,437,464,-,-,-,-,-,-,-,-,-,-,-,-,138,446,675
2020,2019,SB745J,"Joint, Various Lesions, Joint aspiration/arthrocentesis/injection",1A,"Joints, injection or removal of fluid with needle",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),205,319,420,131,137,143,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,76,185,273
2020,2019,SB800K,"Knee Ligaments, Disruption, Reconstruction and Repair",5C,"Knee, reconstruction and repair of ligaments",Private Hospitals/ Clinics,Inpatient,"24,927","27,583","30,384","16,092","18,235","19,564","7,490","9,363","10,700","1,750","2,140","2,500","5,627","6,589","7,596","2,782","4,280","5,885","3,284","4,254","6,284"
2020,2019,SB800P,"Patella, Fracture, Open Reduction and Internal Fixation",3B,"Knee, re-alignment and repair of fractured kneecap (conventional surgery)",Public Hospitals/ Centres (Subsidised),Ward B2,"1,652","2,198","3,497",796,796,832,-,-,-,-,-,-,-,-,-,9,18,28,762,"1,337","2,565"
2020,2019,SB800P,"Patella, Fracture, Open Reduction and Internal Fixation",3B,"Knee, re-alignment and repair of fractured kneecap (conventional surgery)",Public Hospitals/ Centres (Subsidised),Ward C,"1,865","2,188","2,843",424,474,584,-,-,-,-,-,-,-,-,-,6,18,59,"1,313","1,607","2,359"
2020,2019,SB801A,"Ankle, ankle fracture, unimalleolar, ORIF",3C,"Ankle,  joint fracture re-alignment and repair (conventional surgery, one side)",Private Hospitals/ Clinics,Inpatient,"15,748","19,058","21,901","11,383","13,516","14,969","4,922","7,169","8,025","1,311","1,605","2,003","4,222","4,949","5,605",428,"1,742","2,918","2,669","3,351","4,916"
2020,2019,SB801A,"Ankle, ankle fracture, unimalleolar, ORIF",3C,"Ankle,  joint fracture re-alignment and repair (conventional surgery, one side)",Public Hospitals/ Centres (Unsubsidised),Ward A,"5,728","8,095","9,807","2,645","2,980","4,484",-,-,-,-,-,-,-,-,-,468,"1,027","1,636","2,105","3,243","5,040"
2020,2019,SB801A,"Ankle, ankle fracture, unimalleolar, ORIF",3C,"Ankle,  joint fracture re-alignment and repair (conventional surgery, one side)",Public Hospitals/ Centres (Subsidised),Ward B2,"2,188","2,492","3,646",891,915,968,-,-,-,-,-,-,-,-,-,153,674,873,807,"1,064","1,706"
2020,2019,SB801A,"Ankle, ankle fracture, unimalleolar, ORIF",3C,"Ankle,  joint fracture re-alignment and repair (conventional surgery, one side)",Public Hospitals/ Centres (Subsidised),Ward C,"1,698","2,166","2,945",524,561,720,-,-,-,-,-,-,-,-,-,70,235,811,867,"1,238","1,551"
2020,2019,SB801B,"Bone (Lower Limb), Deformities, Corrective Surgery with Internal Fixation with or w/o Fluoroscopy",5C,"Legs, surgical correction of bony deformities",Private Hospitals/ Clinics,Inpatient,"21,172","23,895","29,624","14,253","16,042","19,015","7,490","8,560","9,630","1,873","2,000","2,301","4,741","5,782","7,118","1,793","3,210","4,603","2,600","3,875","7,983"
2020,2019,SB801B,"Bone (Lower Limb), Deformities, Corrective Surgery with Internal Fixation with or w/o Fluoroscopy",5C,"Legs, surgical correction of bony deformities",Public Hospitals/ Centres (Subsidised),Ward B2,"3,188","4,295","6,175","1,142","1,237","1,365",-,-,-,-,-,-,-,-,-,702,"1,145","2,098","1,121","1,694","2,702"
2020,2019,SB801B,"Bone (Lower Limb), Deformities, Corrective Surgery with Internal Fixation with or w/o Fluoroscopy",5C,"Legs, surgical correction of bony deformities",Public Hospitals/ Centres (Subsidised),Ward C,"2,722","3,909","5,078",740,772,900,-,-,-,-,-,-,-,-,-,682,"1,122","2,140","1,045","1,406","2,109"
2020,2019,SB801R,"Radius and Ulna, Fracture/Dislocation, Open Reduction and internal fixation with or without bone grafting",4B,"Arms, re-alignment and repair of fracture and/or dislocation of forearm (conventional surgery)",Private Hospitals/ Clinics,Inpatient,"16,965","19,769","22,296","11,831","14,374","16,056","6,420","8,560","8,560","1,605","2,000","2,140","3,703","4,543","5,594","1,033","2,028","2,538","2,247","2,881","4,570"
2020,2019,SB801R,"Radius and Ulna, Fracture/Dislocation, Open Reduction and internal fixation with or without bone grafting",4B,"Arms, re-alignment and repair of fracture and/or dislocation of forearm (conventional surgery)",Public Hospitals/ Centres (Unsubsidised),Ward A,"6,778","7,390","9,482","3,762","3,874","3,970",-,-,-,-,-,-,-,-,-,824,"1,821","2,087","1,147","2,289","4,207"
2020,2019,SB801R,"Radius and Ulna, Fracture/Dislocation, Open Reduction and internal fixation with or without bone grafting",4B,"Arms, re-alignment and repair of fracture and/or dislocation of forearm (conventional surgery)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"2,220","2,404","2,943",850,968,984,-,-,-,-,-,-,-,-,-,853,935,"1,130",410,527,696
2020,2019,SB801R,"Radius and Ulna, Fracture/Dislocation, Open Reduction and internal fixation with or without bone grafting",4B,"Arms, re-alignment and repair of fracture and/or dislocation of forearm (conventional surgery)",Public Hospitals/ Centres (Subsidised),Ward C,"1,851","2,338","2,954",530,587,890,-,-,-,-,-,-,-,-,-,257,810,"1,046",692,969,"1,225"
2020,2019,SB801R,"Radius and Ulna, Fracture/Dislocation, Open Reduction and internal fixation with or without bone grafting",4B,"Arms, re-alignment and repair of fracture and/or dislocation of forearm (conventional surgery)",Public Hospitals/ Centres (Subsidised),Ward B2,"2,107","2,231","2,728",850,850,968,-,-,-,-,-,-,-,-,-,576,877,965,417,497,"1,060"
2020,2019,SB802U,"Upper Limb, Fracture/Dislocation, Manipulation and Reduction",1B,"Arms, re-alignment of fracture and/or dislocation",Private Hospitals/ Clinics,Inpatient,"4,397","5,181","6,763","1,359","2,275","4,701","1,070","1,605","2,140",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,"1,755","2,341","4,108"
2020,2019,SB803C,"Cervical Spine, Various Lesions, Anterior Decompression and Fusion (single level)",6A,"Spine, removal of bone and fusion of cervical spine (single spinal level)",Private Hospitals/ Clinics,Inpatient,"36,680","41,347","49,783","21,907","27,972","32,267","10,914","16,050","17,120","2,140","3,750","4,013","7,909","9,292","11,227","4,237","4,922","6,185","6,784","10,113","13,456"
2020,2019,SB803C,"Cervical Spine, Various Lesions, Anterior Decompression and Fusion (single level)",6A,"Spine, removal of bone and fusion of cervical spine (single spinal level)",Public Hospitals/ Centres (Subsidised),Ward B2,"5,547","6,853","8,837",968,"1,050","1,365",-,-,-,-,-,-,-,-,-,"1,783","2,354","3,308","2,530","3,086","3,694"
2020,2019,SB803C,"Cervical Spine, Various Lesions, Anterior Decompression and Fusion (single level)",6A,"Spine, removal of bone and fusion of cervical spine (single spinal level)",Public Hospitals/ Centres (Subsidised),Ward C,"4,616","6,317","7,832",561,635,890,-,-,-,-,-,-,-,-,-,"2,009","2,225","3,320","2,207","2,907","3,981"
2020,2019,SB803N,"Nail, Infection/Injury, Avulsion",1A,"Hand, nail removal for infection/injury",Private Hospitals/ Clinics,Clinics,"2,812","3,732","4,025","1,981","2,996","3,424","1,246","1,605","2,140",0,535,856,482,770,"1,070",-,-,-,450,603,725
2020,2019,SB803N,"Nail, Infection/Injury, Avulsion",1A,"Hand, nail removal for infection/injury",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),191,228,296,115,131,137,-,-,-,-,-,-,-,-,-,-,-,-,68,103,151
2020,2019,SB805T,"Tendon Sheath (Upper Limb), De Quervain's (unilateral), Release",3A,"Hand, sheath release for inflamed wrist tendon",Private Hospitals/ Clinics,Day Surgery,"4,192","5,170","6,032","3,596","4,468","5,050","2,461","3,200","3,500",n/a,n/a,n/a,717,"1,293","1,762",-,-,-,409,590,856
2020,2019,SB805T,"Tendon Sheath (Upper Limb), De Quervain's (unilateral), Release",3A,"Hand, sheath release for inflamed wrist tendon",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),726,797,865,581,694,753,-,-,-,-,-,-,-,-,-,-,-,-,97,125,162
2020,2019,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Private Hospitals/ Clinics,Inpatient,"9,091","10,732","12,332","6,349","7,612","9,063","2,996","3,745","4,280",700,900,"1,070","2,778","3,270","3,915",n/a,n/a,n/a,"2,166","2,794","3,610"
2020,2019,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"1,896","2,120","2,618","1,274","1,397","1,766",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,494,708,887
2020,2019,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Public Hospitals/ Centres (Subsidised),Ward C,695,951,"1,280",225,243,376,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,414,556,967
2020,2019,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Public Hospitals/ Centres (Subsidised),Ward B2,722,949,"1,472",313,358,410,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,368,524,992
2020,2019,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),586,685,801,355,395,425,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,223,276,378
2020,2019,SB808K,"Knee, Various Lesions, Meniscectomy with/without Arthroscopy",4A,"Knee, removal of meniscus (with or without scope)",Private Hospitals/ Clinics,Inpatient,"12,142","15,170","18,109","9,353","11,953","13,908","4,280","6,420","7,490","1,000","1,500","1,861","3,444","4,392","5,233",n/a,n/a,n/a,"2,096","2,854","3,870"
2020,2019,SB808K,"Knee, Various Lesions, Meniscectomy with/without Arthroscopy",4A,"Knee, removal of meniscus (with or without scope)",Private Hospitals/ Clinics,Day Surgery,"10,343","13,895","15,358","7,293","12,172","13,088","4,280","6,420","7,276","1,148","1,603","1,700","3,081","4,088","4,449",n/a,n/a,n/a,"1,154","1,633","2,505"
2020,2019,SB809B,"Bone (Lower Limb), Simple Implants, Removal (e.g screw/wire/pins)",1C,"Legs, removal of screws, wires, and/or pins",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),395,474,567,202,213,229,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,177,249,335
2020,2019,SB809K,"Knee, Various Lesions, Total Joint Replacement (Bilateral)",7B,"Knee, joint replacement (both sides)",Private Hospitals/ Clinics,Inpatient,"45,156","53,629","64,359","24,626","30,052","35,073","12,840","17,120","17,980","3,500","4,280","4,280","8,576","9,444","12,309","10,354","12,840","13,054","8,254","10,509","16,204"
2020,2019,SB809K,"Knee, Various Lesions, Total Joint Replacement (Bilateral)",7B,"Knee, joint replacement (both sides)",Public Hospitals/ Centres (Unsubsidised),Ward B1,"28,164","29,859","31,977","15,438","16,009","16,009",-,-,-,-,-,-,-,-,-,"6,251","7,497","9,432","5,767","6,393","8,210"
2020,2019,SB809K,"Knee, Various Lesions, Total Joint Replacement (Bilateral)",7B,"Knee, joint replacement (both sides)",Public Hospitals/ Centres (Subsidised),Ward B2,"9,247","11,593","14,694","1,365","1,365","1,651",-,-,-,-,-,-,-,-,-,"4,303","6,558","7,038","2,960","3,393","5,177"
2020,2019,SB809K,"Knee, Various Lesions, Total Joint Replacement (Bilateral)",7B,"Knee, joint replacement (both sides)",Public Hospitals/ Centres (Subsidised),Ward C,"7,024","8,212","10,358",561,780,890,-,-,-,-,-,-,-,-,-,"3,990","4,840","6,600","2,074","2,498","3,629"
2020,2019,SB810K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral), open/MIS/navigated",6A,"Knee, joint replacement (simple) (one side)",Private Hospitals/ Clinics,Inpatient,"28,992","34,531","40,044","16,061","19,876","21,730","8,560","10,700","11,000","2,140","2,500","2,675","5,682","6,842","7,906","5,173","6,843","7,490","6,454","8,594","11,207"
2020,2019,SB810K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral), open/MIS/navigated",6A,"Knee, joint replacement (simple) (one side)",Public Hospitals/ Centres (Unsubsidised),Ward A,"19,680","22,389","24,411","7,832","12,441","12,662",-,-,-,-,-,-,-,-,-,"3,531","3,898","4,628","5,808","6,821","8,153"
2020,2019,SB810K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral), open/MIS/navigated",6A,"Knee, joint replacement (simple) (one side)",Public Hospitals/ Centres (Unsubsidised),Ward B1,"17,276","19,772","21,881","5,902","11,197","11,396",-,-,-,-,-,-,-,-,-,"3,531","3,908","4,638","4,795","5,734","6,657"
2020,2019,SB810K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral), open/MIS/navigated",6A,"Knee, joint replacement (simple) (one side)",Public Hospitals/ Centres (Subsidised),Ward B2,"5,555","6,432","7,483",968,"1,365","1,446",-,-,-,-,-,-,-,-,-,"1,941","2,396","3,300","2,039","2,464","3,173"
2020,2019,SB810K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral), open/MIS/navigated",6A,"Knee, joint replacement (simple) (one side)",Public Hospitals/ Centres (Subsidised),Ward C,"4,363","5,329","6,350",561,635,780,-,-,-,-,-,-,-,-,-,"1,874","2,101","3,130","1,607","1,975","2,804"
2020,2019,SB816S,"Spine, Various Lesions, Decompression Laminectomy, single level (1 or 2 roots)",6A,"Spine, removal of bone (single spinal levels)",Private Hospitals/ Clinics,Inpatient,"24,727","33,432","39,735","18,778","22,048","26,009","10,700","12,840","13,750","2,500","3,210","3,424","5,200","6,591","8,695",n/a,n/a,n/a,"4,334","6,968","11,292"
2020,2019,SB816S,"Spine, Various Lesions, Decompression Laminectomy, single level (1 or 2 roots)",6A,"Spine, removal of bone (single spinal levels)",Public Hospitals/ Centres (Unsubsidised),Ward A,"12,399","14,732","17,530","9,442","10,153","11,777",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"2,642","4,611","7,320"
2020,2019,SB816S,"Spine, Various Lesions, Decompression Laminectomy, single level (1 or 2 roots)",6A,"Spine, removal of bone (single spinal levels)",Public Hospitals/ Centres (Subsidised),Ward C,"2,685","3,565","7,512",486,561,780,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"1,722","2,645","6,080"
2020,2019,SB816S,"Spine, Various Lesions, Decompression Laminectomy, single level (1 or 2 roots)",6A,"Spine, removal of bone (single spinal levels)",Public Hospitals/ Centres (Subsidised),Ward B2,"2,723","3,306","4,425",938,968,"1,365",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"1,511","2,291","3,245"
2020,2019,SB819H,"Hand, Tumors, Excision with Dissection of Neurovascular Bundle",4B,"Hand, removal of tumour with involvement of nerves and blood vessels",Private Hospitals/ Clinics,Day Surgery,"6,805","7,839","9,127","6,075","6,813","7,953","4,000","4,600","5,350",0,697,"1,058","1,320","1,593","1,986",n/a,n/a,n/a,675,955,"1,195"
2020,2019,SB819H,"Hand, Tumors, Excision with Dissection of Neurovascular Bundle",4B,"Hand, removal of tumour with involvement of nerves and blood vessels",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,207","1,415","1,582",968,993,"1,365",-,-,-,-,-,-,-,-,-,-,-,-,192,277,407
2020,2019,SB825B,"Bone (Upper Limb), Plates and Screws, Removal",2B,"Arms, removal of plates and/or screws",Private Hospitals/ Clinics,Inpatient,"9,337","10,756","12,704","7,410","8,117","9,517","3,210","4,000","4,280",803,"1,000","1,100","2,528","3,008","4,088",-,-,-,"1,593","2,282","2,901"
2020,2019,SB825B,"Bone (Upper Limb), Plates and Screws, Removal",2B,"Arms, removal of plates and/or screws",Private Hospitals/ Clinics,Day Surgery,"4,621","7,001","8,673","3,591","5,829","7,478","2,461","3,210","3,745",n/a,n/a,n/a,"1,030","1,880","2,858",-,-,-,585,"1,029","1,494"
2020,2019,SB825B,"Bone (Upper Limb), Plates and Screws, Removal",2B,"Arms, removal of plates and/or screws",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"1,900","2,253","2,330","1,285","1,434","1,815",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,465,515,729
2020,2019,SB825B,"Bone (Upper Limb), Plates and Screws, Removal",2B,"Arms, removal of plates and/or screws",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),554,618,745,334,358,459,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,188,231,318
2020,2019,SB826B,"Bone (Upper Limb), Simple Implants, Removal (eg: K-wires, wires, pins, screws only)",1C,"Arms, removal of screws, wires, and/or pins",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"1,060","1,256","1,796",742,825,"1,297",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,235,378,497
2020,2019,SB826B,"Bone (Upper Limb), Simple Implants, Removal (eg: K-wires, wires, pins, screws only)",1C,"Arms, removal of screws, wires, and/or pins",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),322,364,482,191,229,229,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,104,150,211
2020,2019,SB838H,"Hip, Various Lesions, Hemi-Arthroplasty",5C,"Hip, partial hip replacement",Private Hospitals/ Clinics,Inpatient,"27,870","36,984","44,448","15,684","17,381","19,018","8,560","9,630","9,844","2,000","2,354","2,675","4,651","5,710","6,576","2,860","4,037","4,815","8,160","15,825","22,975"
2020,2019,SB838H,"Hip, Various Lesions, Hemi-Arthroplasty",5C,"Hip, partial hip replacement",Public Hospitals/ Centres (Subsidised),Ward B2,"5,474","6,323","7,562","1,050","1,064","1,365",-,-,-,-,-,-,-,-,-,"1,084","1,246","1,496","2,965","3,817","4,999"
2020,2019,SB838H,"Hip, Various Lesions, Hemi-Arthroplasty",5C,"Hip, partial hip replacement",Public Hospitals/ Centres (Subsidised),Ward C,"4,458","5,152","6,332",561,664,780,-,-,-,-,-,-,-,-,-,990,"1,165","1,496","2,581","3,253","4,056"
2020,2019,SB839H,"Hip, Various Lesions, Primary Total Joint Replacement, open/MIS/navigated",6A,"Hip, total hip replacement",Private Hospitals/ Clinics,Inpatient,"31,649","37,855","44,602","18,391","21,203","24,286","8,560","10,807","12,840","2,140","2,387","3,000","5,962","7,352","8,281","5,967","7,435","8,560","6,921","9,313","12,030"
2020,2019,SB839H,"Hip, Various Lesions, Primary Total Joint Replacement, open/MIS/navigated",6A,"Hip, total hip replacement",Public Hospitals/ Centres (Unsubsidised),Ward A,"20,647","22,741","25,386","7,004","9,819","12,441",-,-,-,-,-,-,-,-,-,"4,584","5,750","7,055","5,988","7,299","8,851"
2020,2019,SB839H,"Hip, Various Lesions, Primary Total Joint Replacement, open/MIS/navigated",6A,"Hip, total hip replacement",Public Hospitals/ Centres (Subsidised),Ward B2,"6,065","7,642","9,305",968,"1,050","1,365",-,-,-,-,-,-,-,-,-,"2,648","3,319","4,343","2,001","2,678","3,544"
2020,2019,SB839H,"Hip, Various Lesions, Primary Total Joint Replacement, open/MIS/navigated",6A,"Hip, total hip replacement",Public Hospitals/ Centres (Subsidised),Ward C,"5,132","6,493","8,201",561,635,693,-,-,-,-,-,-,-,-,-,"2,550","3,136","4,525","1,696","2,119","3,110"
2020,2019,SC703B,"Bronchus/Lung, Bronchoscopy with/without biopsy",1B,"Lung, scope with/without removal of tissue",Public Hospitals/ Centres (Subsidised),Ward C,"1,550","2,407","4,115",91,110,114,-,-,-,-,-,-,-,-,-,-,-,-,"1,232","2,313","4,005"
2020,2019,SC703B,"Bronchus/Lung, Bronchoscopy with/without biopsy",1B,"Lung, scope with/without removal of tissue",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),271,345,497,160,191,193,-,-,-,-,-,-,-,-,-,-,-,-,86,155,327
2020,2019,SC704B,"Bronchus/Lung, Bronchoscopy with biopsy, bronchoalveolar lavage",2A,"Lung, scope with removal of tissue and washout",Private Hospitals/ Clinics,Inpatient,"10,683","17,541","33,297","1,944","2,645","3,796","1,070","1,498","2,140",n/a,n/a,n/a,754,890,"1,274",-,-,-,"7,997","15,070","28,695"
2020,2019,SC704B,"Bronchus/Lung, Bronchoscopy with biopsy, bronchoalveolar lavage",2A,"Lung, scope with removal of tissue and washout",Private Hospitals/ Clinics,Day Surgery,"3,630","4,258","5,887","1,917","2,439","3,041","1,070","1,284","1,819",n/a,n/a,n/a,707,847,"1,142",-,-,-,"1,211","1,966","2,726"
