YEAR,TOPS_CODE,TOSP_DESCRIPTION,TOSP_TABLE_NO,TOSP_COMMON_NAME,SETTING,WARD_TYPE,P25_BILL,P50_BILL,P75_BILL,P25_OPERATION_FEE,P50_OPERATION_FEE,P75_OPERATION_FEE,P25_SURGEON_FEE,P50_SURGEON_FEE,P75_SURGEON_FEE,P25_ANAESTHETIST_FEE,P50_ANAESTHETIST_FEE,P75_ANAESTHETIST_FEE,P25_FACILITY_FEE,P50_FACILITY_FEE,P75_FACILITY_FEE,P25_IMPLANT_FEE,P50_IMPLANT_FEE,P75_IMPLANT_FEE,P25_OTHER_FEE,P50_OTHER_FEE,P75_OTHER_FEE
2019,SB800K,"Knee Ligaments, Disruption, Reconstruction and Repair",5C,"Knee, reconstruction and repair of ligaments",Private Hospitals/ Clinics,Inpatient,"24,088","27,285","32,098","16,899","18,646","20,878","8,560","10,700","12,840","2,000","2,250","2,500","5,123","6,061","6,729","1,571","3,558","6,420","2,928","3,985","5,744"
2019,SB800P,"Patella, Fracture, Open Reduction and Internal Fixation",3B,"Knee, re-alignment and repair of fractured kneecap (conventional surgery)",Public Hospitals/ Centres (Subsidised),Ward B2,"1,915","2,661","3,269",744,796,796,-,-,-,-,-,-,-,-,-,3,13,23,"1,097","1,895","2,360"
2019,SB800P,"Patella, Fracture, Open Reduction and Internal Fixation",3B,"Knee, re-alignment and repair of fractured kneecap (conventional surgery)",Public Hospitals/ Centres (Subsidised),Ward C,"1,879","2,231","2,805",390,431,449,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"1,360","1,657","2,073"
2019,SB801A,"Ankle, ankle fracture, unimalleolar, ORIF",3C,"Ankle,  joint fracture re-alignment and repair (conventional surgery, one side)",Private Hospitals/ Clinics,Inpatient,"17,478","19,543","23,750","11,989","13,606","15,049","6,420","7,490","8,132","1,500","1,712","2,000","3,919","4,645","5,396",558,"1,331","2,651","2,794","4,678","7,080"
2019,SB801A,"Ankle, ankle fracture, unimalleolar, ORIF",3C,"Ankle,  joint fracture re-alignment and repair (conventional surgery, one side)",Public Hospitals/ Centres (Subsidised),Ward B2,"1,771","2,208","3,201",857,891,891,-,-,-,-,-,-,-,-,-,142,224,791,604,905,"1,251"
2019,SB801B,"Bone (Lower Limb), Deformities, Corrective Surgery with Internal Fixation with or w/o Fluoroscopy",5C,"Legs, surgical correction of bony deformities",Private Hospitals/ Clinics,Inpatient,"18,352","22,740","26,917","14,636","15,784","18,038","7,570","8,560","9,630","1,873","2,000","2,247","3,955","5,220","6,122",396,"2,107","3,916","2,662","3,456","5,867"
2019,SB801B,"Bone (Lower Limb), Deformities, Corrective Surgery with Internal Fixation with or w/o Fluoroscopy",5C,"Legs, surgical correction of bony deformities",Public Hospitals/ Centres (Subsidised),Ward B2,"3,428","3,982","5,129","1,050","1,287","1,287",-,-,-,-,-,-,-,-,-,656,"1,160","1,806","1,414","1,669","2,036"
2019,SB801B,"Bone (Lower Limb), Deformities, Corrective Surgery with Internal Fixation with or w/o Fluoroscopy",5C,"Legs, surgical correction of bony deformities",Public Hospitals/ Centres (Subsidised),Ward C,"2,823","3,856","5,319",654,735,780,-,-,-,-,-,-,-,-,-,720,"1,246","2,000","1,090","1,493","2,142"
2019,SB801R,"Radius and Ulna, Fracture/Dislocation, Open Reduction and internal fixation with or without bone grafting",4B,"Arms, re-alignment and repair of fracture and/or dislocation of forearm (conventional surgery)",Private Hospitals/ Clinics,Inpatient,"16,677","19,610","22,650","11,762","14,051","16,112","6,420","7,690","8,560","1,500","1,873","2,000","3,787","4,601","5,507","1,237","2,157","2,675","2,087","2,817","3,856"
2019,SB801R,"Radius and Ulna, Fracture/Dislocation, Open Reduction and internal fixation with or without bone grafting",4B,"Arms, re-alignment and repair of fracture and/or dislocation of forearm (conventional surgery)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"2,066","2,169","2,450",850,850,885,-,-,-,-,-,-,-,-,-,800,902,959,366,424,528
2019,SB801R,"Radius and Ulna, Fracture/Dislocation, Open Reduction and internal fixation with or without bone grafting",4B,"Arms, re-alignment and repair of fracture and/or dislocation of forearm (conventional surgery)",Public Hospitals/ Centres (Unsubsidised),Ward A,"6,753","7,391","8,605","3,630","3,762","3,955",-,-,-,-,-,-,-,-,-,931,"1,769","2,137","1,038","1,660","3,092"
2019,SB801R,"Radius and Ulna, Fracture/Dislocation, Open Reduction and internal fixation with or without bone grafting",4B,"Arms, re-alignment and repair of fracture and/or dislocation of forearm (conventional surgery)",Public Hospitals/ Centres (Subsidised),Ward B2,"2,124","2,248","2,690",850,850,880,-,-,-,-,-,-,-,-,-,608,891,965,393,499,"1,037"
2019,SB801R,"Radius and Ulna, Fracture/Dislocation, Open Reduction and internal fixation with or without bone grafting",4B,"Arms, re-alignment and repair of fracture and/or dislocation of forearm (conventional surgery)",Public Hospitals/ Centres (Subsidised),Ward C,"1,755","2,159","2,576",486,510,701,-,-,-,-,-,-,-,-,-,211,490,779,757,976,"1,388"
2019,SB802U,"Upper Limb, Fracture/Dislocation, Manipulation and Reduction",1B,"Arms, re-alignment of fracture and/or dislocation",Private Hospitals/ Clinics,Inpatient,"5,036","6,532","9,411","2,140","3,773","7,415","1,338","2,140","4,000",n/a,n/a,n/a,n/a,n/a,n/a,-,-,-,"1,820","2,302","3,023"
2019,SB803C,"Cervical Spine, Various Lesions, Anterior Decompression and Fusion (single level)",6A,"Spine, removal of bone and fusion of cervical spine (single spinal level)",Private Hospitals/ Clinics,Inpatient,"33,559","40,316","43,406","24,827","27,659","29,946","12,840","16,025","17,120","3,000","3,611","4,000","8,079","8,754","10,748",n/a,n/a,n/a,"5,322","6,484","9,285"
2019,SB803C,"Cervical Spine, Various Lesions, Anterior Decompression and Fusion (single level)",6A,"Spine, removal of bone and fusion of cervical spine (single spinal level)",Public Hospitals/ Centres (Subsidised),Ward C,"6,211","8,259","10,324",510,635,735,-,-,-,-,-,-,-,-,-,"1,848","2,579","3,200","2,723","4,650","6,471"
2019,SB803N,"Nail, Infection/Injury, Avulsion",1A,"Hand, nail removal for infection/injury",Private Hospitals/ Clinics,Clinics,"2,226","3,735","4,575","1,530","2,797","3,663","1,124","1,567","2,140",0,535,749,0,482,"1,070",-,-,-,428,738,"1,065"
2019,SB803N,"Nail, Infection/Injury, Avulsion",1A,"Hand, nail removal for infection/injury",Private Hospitals/ Clinics,Day Surgery,"2,477","3,306","3,822","1,814","2,520","3,021","1,070","1,605","1,926",n/a,n/a,n/a,594,795,"1,084",-,-,-,591,754,973
2019,SB803N,"Nail, Infection/Injury, Avulsion",1A,"Hand, nail removal for infection/injury",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),193,220,254,114,115,131,-,-,-,-,-,-,-,-,-,-,-,-,70,94,124
2019,SB803N,"Nail, Infection/Injury, Avulsion",1A,"Hand, nail removal for infection/injury",Public Hospitals/ Centres (Subsidised),Ward C,540,742,"1,019",63,69,76,-,-,-,-,-,-,-,-,-,-,-,-,436,631,939
2019,SB804H,"Hand, Crush Injuries (complex), Wound Debridement",3C,"Hand, removal of unhealthy tissue damaged from crush injury (complex)",Private Hospitals/ Clinics,Inpatient,"7,263","9,732","11,318","4,715","6,296","8,108","2,729","3,745","4,494",n/a,n/a,n/a,"1,139","2,248","2,828",-,-,-,"2,046","2,546","3,502"
2019,SB805T,"Tendon Sheath (Upper Limb), De Quervain's (unilateral), Release",3A,"Hand, sheath release for inflamed wrist tendon",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),678,697,806,528,596,694,-,-,-,-,-,-,-,-,-,-,-,-,95,126,154
2019,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Private Hospitals/ Clinics,Day Surgery,"6,546","7,666","9,556","5,075","6,049","7,736","2,140","2,996","4,280",500,750,936,"2,124","2,617","3,123",n/a,n/a,n/a,978,"1,298","1,633"
2019,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Private Hospitals/ Clinics,Inpatient,"8,295","10,485","11,904","6,318","7,735","9,100","2,996","3,745","4,280",750,888,"1,070","2,503","3,056","3,625",n/a,n/a,n/a,"1,732","2,329","2,839"
2019,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"1,924","2,151","2,327","1,278","1,308","1,559",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,519,685,845
2019,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),592,664,750,313,358,419,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,228,279,340
2019,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Public Hospitals/ Centres (Subsidised),Ward B2,642,899,"1,127",284,336,419,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,336,511,687
2019,SB808B,"Bone (Lower Limb), Plates and Screws/Nails, Removal",2B,"Legs, removal of plates, screws, and/or nails",Public Hospitals/ Centres (Subsidised),Ward C,704,857,"1,333",216,239,376,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,415,571,972
2019,SB808K,"Knee, Various Lesions, Meniscectomy with/without Arthroscopy",4A,"Knee, removal of meniscus (with or without scope)",Private Hospitals/ Clinics,Day Surgery,"14,073","15,185","18,723","12,106","12,906","13,427","6,420","6,955","7,490","1,500","1,625","1,750","3,838","4,184","4,447",n/a,n/a,n/a,"1,512","1,930","2,640"
2019,SB808K,"Knee, Various Lesions, Meniscectomy with/without Arthroscopy",4A,"Knee, removal of meniscus (with or without scope)",Private Hospitals/ Clinics,Inpatient,"12,509","15,080","19,116","10,303","11,592","14,114","4,815","5,778","7,490","1,125","1,486","1,819","3,733","4,496","5,112",n/a,n/a,n/a,"1,960","2,885","4,138"
2019,SB809B,"Bone (Lower Limb), Simple Implants, Removal (e.g screw/wire/pins)",1C,"Legs, removal of screws, wires, and/or pins",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),342,449,568,188,205,218,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,140,229,300
2019,SB809K,"Knee, Various Lesions, Total Joint Replacement (Bilateral)",7B,"Knee, joint replacement (both sides)",Public Hospitals/ Centres (Unsubsidised),Ward B1,"27,765","30,515","33,009","15,104","15,373","15,373",-,-,-,-,-,-,-,-,-,"6,001","7,587","9,432","6,103","7,444","8,513"
2019,SB809K,"Knee, Various Lesions, Total Joint Replacement (Bilateral)",7B,"Knee, joint replacement (both sides)",Public Hospitals/ Centres (Subsidised),Ward B2,"8,946","9,948","12,920","1,050","1,287","1,287",-,-,-,-,-,-,-,-,-,"4,683","5,320","6,586","2,706","3,376","4,361"
2019,SB809T,"Tendon-Achilles (Lower Limb), Disruption, Repair",3A,"Ankle, Achilles tendon repair",Private Hospitals/ Clinics,Inpatient,"13,879","16,430","20,642","10,793","13,203","15,041","6,313","7,490","8,560","1,267","1,605","2,000","3,049","3,624","4,082",n/a,n/a,n/a,"2,220","3,779","5,658"
2019,SB810K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral), open/MIS/navigated",6A,"Knee, joint replacement (simple) (one side)",Private Hospitals/ Clinics,Inpatient,"27,183","34,014","40,129","15,736","19,102","22,774","8,560","10,700","12,840","2,000","2,140","2,675","5,228","6,456","7,667","4,815","6,500","7,490","5,393","7,954","10,566"
2019,SB810K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral), open/MIS/navigated",6A,"Knee, joint replacement (simple) (one side)",Public Hospitals/ Centres (Unsubsidised),Ward A,"19,609","21,648","23,781","7,048","10,153","11,945",-,-,-,-,-,-,-,-,-,"3,449","3,993","4,938","6,053","7,153","8,467"
2019,SB810K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral), open/MIS/navigated",6A,"Knee, joint replacement (simple) (one side)",Public Hospitals/ Centres (Unsubsidised),Ward B1,"17,057","18,963","20,749","5,902","10,563","10,751",-,-,-,-,-,-,-,-,-,"3,379","3,964","4,716","4,696","5,527","6,625"
2019,SB810K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral), open/MIS/navigated",6A,"Knee, joint replacement (simple) (one side)",Public Hospitals/ Centres (Subsidised),Ward B2,"5,274","6,084","7,088",897,"1,050","1,287",-,-,-,-,-,-,-,-,-,"1,856","2,300","2,900","2,055","2,428","3,181"
2019,SB810K,"Knee, Various Lesions, Primary Total Joint Replacement (Unilateral), open/MIS/navigated",6A,"Knee, joint replacement (simple) (one side)",Public Hospitals/ Centres (Subsidised),Ward C,"4,496","5,216","6,027",510,635,735,-,-,-,-,-,-,-,-,-,"1,816","2,161","2,634","1,723","2,116","2,868"
2019,SB816S,"Spine, Various Lesions, Decompression Laminectomy, single level (1 or 2 roots)",6A,"Spine, removal of bone (single spinal levels)",Private Hospitals/ Clinics,Inpatient,"23,975","31,331","37,954","18,631","21,708","26,277","10,700","12,840","14,980","2,500","3,000","3,210","5,265","6,430","7,654",n/a,n/a,n/a,"4,118","6,432","9,588"
2019,SB816S,"Spine, Various Lesions, Decompression Laminectomy, single level (1 or 2 roots)",6A,"Spine, removal of bone (single spinal levels)",Public Hospitals/ Centres (Unsubsidised),Ward A,"12,735","14,951","17,103","7,212","9,972","11,737",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"3,044","4,691","6,477"
2019,SB816S,"Spine, Various Lesions, Decompression Laminectomy, single level (1 or 2 roots)",6A,"Spine, removal of bone (single spinal levels)",Public Hospitals/ Centres (Unsubsidised),Ward B1,"13,209","14,862","15,682","8,881","10,092","10,751",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"3,798","4,833","5,751"
2019,SB816S,"Spine, Various Lesions, Decompression Laminectomy, single level (1 or 2 roots)",6A,"Spine, removal of bone (single spinal levels)",Public Hospitals/ Centres (Subsidised),Ward B2,"2,408","3,295","4,213",880,968,"1,287",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"1,479","2,220","3,179"
2019,SB816S,"Spine, Various Lesions, Decompression Laminectomy, single level (1 or 2 roots)",6A,"Spine, removal of bone (single spinal levels)",Public Hospitals/ Centres (Subsidised),Ward C,"2,715","3,129","4,705",486,510,735,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"1,980","2,631","4,060"
2019,SB819H,"Hand, Tumors, Excision with Dissection of Neurovascular Bundle",4B,"Hand, removal of tumour with involvement of nerves and blood vessels",Private Hospitals/ Clinics,Day Surgery,"6,178","7,174","8,671","5,642","6,318","7,409","3,773","4,351","4,816",0,746,"1,000","1,231","1,506","2,014",-,-,-,585,854,"1,080"
2019,SB819H,"Hand, Tumors, Excision with Dissection of Neurovascular Bundle",4B,"Hand, removal of tumour with involvement of nerves and blood vessels",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,214","1,431","1,584",880,"1,050","1,287",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,200,297,421
2019,SB825B,"Bone (Upper Limb), Plates and Screws, Removal",2B,"Legs, removal of plates and/or screws",Private Hospitals/ Clinics,Day Surgery,"4,686","7,485","8,555","3,738","6,465","7,571","2,140","3,210","4,280",236,800,"1,000","1,001","1,903","2,747",n/a,n/a,n/a,631,901,"1,158"
2019,SB825B,"Bone (Upper Limb), Plates and Screws, Removal",2B,"Legs, removal of plates and/or screws",Private Hospitals/ Clinics,Inpatient,"8,910","10,178","11,399","6,676","7,663","9,078","3,210","4,280","4,280",800,"1,000","1,070","2,589","3,065","3,898",n/a,n/a,n/a,"1,649","1,926","2,446"
2019,SB825B,"Bone (Upper Limb), Plates and Screws, Removal",2B,"Legs, removal of plates and/or screws",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),520,594,728,321,358,403,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,175,225,281
2019,SB825B,"Bone (Upper Limb), Plates and Screws, Removal",2B,"Legs, removal of plates and/or screws",Public Hospitals/ Centres (Subsidised),Ward B2,555,630,971,284,333,385,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,270,328,547
2019,SB826B,"Bone (Upper Limb), Simple Implants, Removal (eg: K-wires, wires, pins, screws only)",1C,"Arms, removal of screws, wires, and/or pins",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),936,"1,250","1,833",700,813,"1,314",-,-,-,-,-,-,-,-,-,-,-,-,238,416,528
2019,SB826B,"Bone (Upper Limb), Simple Implants, Removal (eg: K-wires, wires, pins, screws only)",1C,"Arms, removal of screws, wires, and/or pins",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),302,345,550,185,216,233,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,98,132,225
2019,SB838H,"Hip, Various Lesions, Hemi-Arthroplasty",5C,"Hip, partial hip replacement",Public Hospitals/ Centres (Unsubsidised),Ward B1,"14,729","18,264","21,172","4,695","5,704","8,185",-,-,-,-,-,-,-,-,-,"1,878","2,537","3,222","6,386","9,352","11,140"
2019,SB838H,"Hip, Various Lesions, Hemi-Arthroplasty",5C,"Hip, partial hip replacement",Public Hospitals/ Centres (Subsidised),Ward B2,"5,146","6,278","7,298","1,050","1,051","1,287",-,-,-,-,-,-,-,-,-,"1,008","1,171","1,496","2,813","3,708","4,699"
2019,SB838H,"Hip, Various Lesions, Hemi-Arthroplasty",5C,"Hip, partial hip replacement",Public Hospitals/ Centres (Subsidised),Ward C,"4,223","4,750","5,853",510,635,735,-,-,-,-,-,-,-,-,-,978,"1,165","1,496","2,331","2,923","3,890"
2019,SB839H,"Hip, Various Lesions, Primary Total Joint Replacement, open/MIS/navigated",6A,"Hip, total hip replacement",Private Hospitals/ Clinics,Inpatient,"30,389","35,484","42,327","15,848","20,274","23,810","8,560","11,235","13,108","2,000","2,500","3,210","5,177","6,803","7,405","5,102","6,581","7,490","6,200","8,906","11,437"
2019,SB839H,"Hip, Various Lesions, Primary Total Joint Replacement, open/MIS/navigated",6A,"Hip, total hip replacement",Public Hospitals/ Centres (Unsubsidised),Ward A,"21,270","23,540","27,164","7,446","9,257","11,737",-,-,-,-,-,-,-,-,-,"4,533","5,222","6,596","6,226","8,463","11,963"
2019,SB839H,"Hip, Various Lesions, Primary Total Joint Replacement, open/MIS/navigated",6A,"Hip, total hip replacement",Public Hospitals/ Centres (Unsubsidised),Ward B1,"18,157","20,540","23,104","5,722","8,980","10,563",-,-,-,-,-,-,-,-,-,"4,355","4,882","6,555","5,370","6,468","9,132"
2019,SB839H,"Hip, Various Lesions, Primary Total Joint Replacement, open/MIS/navigated",6A,"Hip, total hip replacement",Public Hospitals/ Centres (Subsidised),Ward B2,"6,059","7,017","8,910",903,"1,050","1,267",-,-,-,-,-,-,-,-,-,"2,556","3,131","3,920","2,178","2,630","3,611"
2019,SB839H,"Hip, Various Lesions, Primary Total Joint Replacement, open/MIS/navigated",6A,"Hip, total hip replacement",Public Hospitals/ Centres (Subsidised),Ward C,"5,158","5,989","7,234",510,635,635,-,-,-,-,-,-,-,-,-,"2,308","3,041","3,660","1,620","2,358","3,000"
2019,SC703B,"Bronchus/Lung, Bronchoscopy with/without biopsy",1B,"Lung, scope with/without removal of tissue",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),279,432,522,151,182,191,-,-,-,-,-,-,-,-,-,-,-,-,86,246,345
2019,SC703B,"Bronchus/Lung, Bronchoscopy with/without biopsy",1B,"Lung, scope with/without removal of tissue",Public Hospitals/ Centres (Subsidised),Ward C,"1,332","2,385","4,750",91,104,110,-,-,-,-,-,-,-,-,-,-,-,-,"1,237","2,281","4,646"
2019,SC704B,"Bronchus/Lung, Bronchoscopy with biopsy, bronchoalveolar lavage",2A,"Lung, scope with removal of tissue and washout",Private Hospitals/ Clinics,Day Surgery,"3,281","3,999","5,510","1,727","2,504","3,339","1,070","1,338","2,140",n/a,n/a,n/a,595,767,996,-,-,-,998,"1,826","2,435"
2019,SC704B,"Bronchus/Lung, Bronchoscopy with biopsy, bronchoalveolar lavage",2A,"Lung, scope with removal of tissue and washout",Private Hospitals/ Clinics,Inpatient,"13,186","20,422","32,893","2,431","2,967","3,736","1,284","1,605","2,140",n/a,n/a,n/a,743,941,"1,297",-,-,-,"10,051","16,982","29,142"
2019,SC704B,"Bronchus/Lung, Bronchoscopy with biopsy, bronchoalveolar lavage",2A,"Lung, scope with removal of tissue and washout",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),580,624,735,263,268,333,-,-,-,-,-,-,-,-,-,-,-,-,289,341,460
2019,SC704B,"Bronchus/Lung, Bronchoscopy with biopsy, bronchoalveolar lavage",2A,"Lung, scope with removal of tissue and washout",Public Hospitals/ Centres (Subsidised),Ward B2,"2,057","3,008","5,503",268,272,333,-,-,-,-,-,-,-,-,-,-,-,-,"1,758","2,723","5,205"
2019,SC704B,"Bronchus/Lung, Bronchoscopy with biopsy, bronchoalveolar lavage",2A,"Lung, scope with removal of tissue and washout",Public Hospitals/ Centres (Subsidised),Ward C,"1,538","2,518","5,233",151,155,190,-,-,-,-,-,-,-,-,-,-,-,-,"1,380","2,369","5,043"
2019,SD706B,"Blood Vessels, Portacath, Insertion",3A,"Blood vessel, insertion of long term venous line into the central chest vein",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"3,318","3,504","3,548","2,173","2,446","2,446",-,-,-,-,-,-,-,-,-,690,690,690,349,392,417
2019,SD706B,"Blood Vessels, Portacath, Insertion",3A,"Blood vessel, insertion of long term venous line into the central chest vein",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,190","1,204","1,238",711,711,753,-,-,-,-,-,-,-,-,-,323,323,323,161,171,173
2019,SD706B,"Blood Vessels, Portacath, Insertion",3A,"Blood vessel, insertion of long term venous line into the central chest vein",Public Hospitals/ Centres (Subsidised),Ward B2,"1,652","3,259","5,000",711,711,753,-,-,-,-,-,-,-,-,-,0,323,323,764,"2,354","4,040"
2019,SD706B,"Blood Vessels, Portacath, Insertion",3A,"Blood vessel, insertion of long term venous line into the central chest vein",Public Hospitals/ Centres (Subsidised),Ward C,"1,030","1,827","3,755",304,406,430,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,647,"1,172","3,283"
2019,SD707B,"Blood Vessels, Portacath, removal",2A,"Blood vessel, removal of long term venous line from the central chest vein",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),416,494,580,263,333,352,-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,118,161,217
2019,SD707B,"Blood Vessels, Portacath, removal",2A,"Blood vessel, removal of long term venous line from the central chest vein",Public Hospitals/ Centres (Subsidised),Ward B2,410,415,"1,190",306,306,306,-,-,-,-,-,-,-,-,-,-,-,-,104,109,730
2019,SD707H,"Heart, Cardiac Catheterisation (left) and Intracoronary Pressure Wire without Percutaneous Transluminal Coronary Angioplasty (PTCA)",3C,"Heart, insertion of line and wire into left heart for diagnosis but not treatment",Private Hospitals/ Clinics,Inpatient,"12,505","14,505","18,383","9,835","11,656","13,610","4,280","5,350","5,885",n/a,n/a,n/a,"4,637","6,923","7,725",n/a,n/a,n/a,"1,569","3,894","6,277"
2019,SD707H,"Heart, Cardiac Catheterisation (left) and Intracoronary Pressure Wire without Percutaneous Transluminal Coronary Angioplasty (PTCA)",3C,"Heart, insertion of line and wire into left heart for diagnosis but not treatment",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"4,864","8,792","10,553","2,996","4,591","4,591",-,-,-,-,-,-,-,-,-,-,-,-,"2,013","5,324","5,962"
2019,SD707H,"Heart, Cardiac Catheterisation (left) and Intracoronary Pressure Wire without Percutaneous Transluminal Coronary Angioplasty (PTCA)",3C,"Heart, insertion of line and wire into left heart for diagnosis but not treatment",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"1,732","3,094","3,788",630,838,"1,188",-,-,-,-,-,-,-,-,-,-,-,-,"1,102","2,142","2,593"
2019,SD707H,"Heart, Cardiac Catheterisation (left) and Intracoronary Pressure Wire without Percutaneous Transluminal Coronary Angioplasty (PTCA)",3C,"Heart, insertion of line and wire into left heart for diagnosis but not treatment",Public Hospitals/ Centres (Subsidised),Ward B2,"3,003","3,973","4,642",630,751,"1,188",-,-,-,-,-,-,-,-,-,n/a,n/a,n/a,"2,210","3,051","3,525"
2019,SD707H,"Heart, Cardiac Catheterisation (left) and Intracoronary Pressure Wire without Percutaneous Transluminal Coronary Angioplasty (PTCA)",3C,"Heart, insertion of line and wire into left heart for diagnosis but not treatment",Public Hospitals/ Centres (Subsidised),Ward C,"1,827","2,756","3,569",360,422,679,-,-,-,-,-,-,-,-,-,-,-,-,"1,408","2,312","2,992"
2019,SD712H,"Heart, Percutaneous Transluminal Coronary Angioplasty (PTCA) + stenting (1 vessel) -Complex (defined as > 1 hr), with/without IVUS/FFR",4A,"Heart, expansion of blocked heart vessels (1 vessel) (complex)",Private Hospitals/ Clinics,Inpatient,"25,776","31,697","39,446","15,651","19,020","24,143","6,634","8,560","12,198",n/a,n/a,n/a,"7,618","9,934","12,696","4,831","5,759","8,362","3,132","4,793","8,403"
2019,SD712H,"Heart, Percutaneous Transluminal Coronary Angioplasty (PTCA) + stenting (1 vessel) -Complex (defined as > 1 hr), with/without IVUS/FFR",4A,"Heart, expansion of blocked heart vessels (1 vessel) (complex)",Public Hospitals/ Centres (Unsubsidised),Day Surgery (Unsubsidised),"19,441","21,710","26,430","8,726","8,726","8,967",-,-,-,-,-,-,-,-,-,"4,622","4,622","9,245","5,706","6,283","7,395"
2019,SD712H,"Heart, Percutaneous Transluminal Coronary Angioplasty (PTCA) + stenting (1 vessel) -Complex (defined as > 1 hr), with/without IVUS/FFR",4A,"Heart, expansion of blocked heart vessels (1 vessel) (complex)",Public Hospitals/ Centres (Subsidised),Day Surgery (Subsidised),"5,590","6,962","8,628","1,287","1,287","1,287",-,-,-,-,-,-,-,-,-,"1,512","2,520","3,024","2,711","3,253","3,802"
2019,SD712H,"Heart, Percutaneous Transluminal Coronary Angioplasty (PTCA) + stenting (1 vessel) -Complex (defined as > 1 hr), with/without IVUS/FFR",4A,"Heart, expansion of blocked heart vessels (1 vessel) (complex)",Public Hospitals/ Centres (Unsubsidised),Ward A,"18,170","21,114","25,047","4,142","8,293","8,726",-,-,-,-,-,-,-,-,-,"4,237","5,149","8,474","6,229","8,226","10,326"
2019,SD712H,"Heart, Percutaneous Transluminal Coronary Angioplasty (PTCA) + stenting (1 vessel) -Complex (defined as > 1 hr), with/without IVUS/FFR",4A,"Heart, expansion of blocked heart vessels (1 vessel) (complex)",Public Hospitals/ Centres (Unsubsidised),Ward B1,"13,991","18,864","23,863","3,558","7,447","7,853",-,-,-,-,-,-,-,-,-,"2,876","4,391","7,223","5,309","6,910","9,023"
2019,SD712H,"Heart, Percutaneous Transluminal Coronary Angioplasty (PTCA) + stenting (1 vessel) -Complex (defined as > 1 hr), with/without IVUS/FFR",4A,"Heart, expansion of blocked heart vessels (1 vessel) (complex)",Public Hospitals/ Centres (Subsidised),Ward B2,"5,774","6,971","8,522","1,287","1,287","1,328",-,-,-,-,-,-,-,-,-,"1,512","2,010","3,024","2,933","3,588","4,454"
2019,SD712H,"Heart, Percutaneous Transluminal Coronary Angioplasty (PTCA) + stenting (1 vessel) -Complex (defined as > 1 hr), with/without IVUS/FFR",4A,"Heart, expansion of blocked heart vessels (1 vessel) (complex)",Public Hospitals/ Centres (Subsidised),Ward C,"4,173","5,226","6,403",735,781,781,-,-,-,-,-,-,-,-,-,864,"1,288","1,750","2,284","3,093","3,929"
